"","a2","mt2","n"
"1",0,0,80
"2",0.03125,0,8
"3",0.0625,0,12
"4",0.125,0,20
"5",0.125,1,8
"6",0.25,0,30
"7",0.25,1,8
"8",0.5,0,18
"9",0.5,1,26
"10",1,1,15
