pedigree,k,G,p,r,m
1,2,4,0.5,0.7,15
2,3,4,0.5,0.7,31
3,4,4,0.5,0.7,57
4,8,4,0.5,0.7,304
5,2,3,0.5,0.7,9
6,3,3,0.5,0.7,15
7,4,3,0.5,0.7,21
8,3,5,0.5,0.7,67
9,3,6,0.5,0.7,138
10,3,8,0.5,0.7,595
11,3,5,0.55,0.7,67
12,3,5,0.5,0.8,89
13,6,6,0.5,0.7,
