Combination,a2,cN2,cE2,mt2,d2,j2,e2
1,0.4,0,0,0.1,0,0,0.5
2,0.4,0,0,0.05,0,0,0.55
3,0.4,0,0,0.01,0,0,0.59
4,0.4,0,0,0.005,0,0,0.595
5,0.4,0,0,0.001,0,0,0.599
6,0.2,0,0,0.1,0,0,0.7
7,0.2,0,0,0.01,0,0,0.79
8,0.2,0,0,0.001,0,0,0.799
9,0.6,0,0,0.1,0,0,0.3
10,0.6,0,0,0.01,0,0,0.39
11,0.6,0,0,0.001,0,0,0.399
12,0.1,0,0,0.1,0,0,0.8
13,0.1,0,0,0.01,0,0,0.89
14,0.1,0,0,0.001,0,0,0.899
