"","a2","mt2","n"
"1",0,0,1230
"2",0.0078125,0,162
"3",0.0078125,1,18
"4",0.015625,0,162
"5",0.015625,1,36
"6",0.03125,0,270
"7",0.03125,1,54
"8",0.0625,0,348
"9",0.0625,1,72
"10",0.125,0,300
"11",0.125,1,90
"12",0.25,0,186
"13",0.25,1,126
"14",0.5,0,84
"15",0.5,1,168
"16",1,1,58
