"","a2","mt2","n"
"1",0,0,1230
"2",0.0078125,0,216
"3",0.015625,0,234
"4",0.015625,1,18
"5",0.03125,0,252
"6",0.03125,1,36
"7",0.0625,0,312
"8",0.0625,1,54
"9",0.125,0,300
"10",0.125,1,90
"11",0.25,0,168
"12",0.25,1,144
"13",0.5,0,84
"14",0.5,1,168
"15",1,1,58
