"","a2","mt2","n"
"1",0,0,1230
"2",0.0078125,0,216
"3",0.015625,0,252
"4",0.03125,0,288
"5",0.0625,0,348
"6",0.0625,1,18
"7",0.125,0,300
"8",0.125,1,90
"9",0.25,0,186
"10",0.25,1,126
"11",0.5,0,84
"12",0.5,1,168
"13",1,1,58
